📦 전체 시스템 포트/프로세스 진단 시작
HOSTNAME: k8s-master02-dc1
IP: 100.100.100.202

PORT     PROTO  PID(s)        PROCESS(es)                   SERVICE
-------- ------ ------------- ----------------------------- ----------------
22       tcp    49208         sshd                          ssh
53       tcp    650           systemd-resolve               domain
53       udp    650           systemd-resolve               domain
179      tcp    3391          bird                          bgp
2379     tcp    736           etcd                          (unknown)
2380     tcp    736           etcd                          (unknown)
6443     tcp    1283          kube-apiserver                (unknown)
9099     tcp    3115          calico-node                   (unknown)
9100     tcp    1568          node_exporter                 (unknown)
10050    tcp    449179        zabbix_agent2                 zabbix-agent
10248    tcp    2051775       kubelet                       (unknown)
10249    tcp    1609          kube-proxy                    (unknown)
10250    tcp    2051775       kubelet                       (unknown)
10256    tcp    1609          kube-proxy                    (unknown)
10257    tcp    1890219       kube-controller               (unknown)
10259    tcp    4166298       kube-scheduler                (unknown)
36237    tcp    767           containerd                    (unknown)
