📦 전체 시스템 포트/프로세스 진단 시작
HOSTNAME: Ansible-dc1
IP: 200.200.200.119

PORT     PROTO  PID(s)        PROCESS(es)                   SERVICE
-------- ------ ------------- ----------------------------- ----------------
22       tcp    118620        sshd                          ssh
323      udp    796           chronyd                       (unknown)
8080     tcp    16894         java                          webcache
10050    tcp    810           zabbix_agent2                 zabbix-agent
18080    tcp    163327        kubectl                       (unknown)
32768    tcp    127135        docker-proxy                  filenet-tms
32769    tcp    127142        docker-proxy                  filenet-rpc
32770    tcp    127150        docker-proxy                  filenet-nch
32771    tcp    127156        docker-proxy                  filenet-rmi
32772    tcp    127164        docker-proxy                  filenet-pa
32841    tcp    132713        docker-proxy                  (unknown)
